workout_id,user_id,workout_start_time,workout_duration_min,workout_type,muscleGroupsTargeted,workout_style,trainer_name,trainer_follower_count,difficulty_level,completion_status,engagement_score
1,362,8/26/2023 5:06,10,Exercise,"['Legs', 'Glutes']",Strength,Sarah Kim,60000,Beginner,TRUE,1.67
2,307,5/17/2023 18:27,53,Movement,"['Biceps', 'Triceps']",Flexibility,Alex Johnson,50000,Advanced,TRUE,6.03
3,116,8/19/2023 6:01,26,Exercise,"['Legs', 'Glutes']",Cardio,Sarah Kim,60000,Beginner,TRUE,1.32
4,213,7/20/2023 20:34,21,Exercise,"['Chest', 'Shoulders']",Cardio,Emma Rodriguez,2500000,Beginner,TRUE,1.18
5,470,3/27/2023 12:53,31,Movement,"['Back', 'Core']",Flexibility,Emma Rodriguez,2500000,Intermediate,TRUE,3.54
6,198,5/7/2023 18:01,29,Movement,"['Legs', 'Glutes']",Flexibility,Emma Rodriguez,2500000,Beginner,TRUE,1.54
7,431,10/7/2023 5:54,28,Movement,"['Chest', 'Shoulders']",Cardio,Sarah Kim,60000,Beginner,TRUE,1.54
8,276,9/11/2023 8:17,50,Exercise,"['Legs', 'Glutes']",Cardio,Emma Rodriguez,2500000,Advanced,FALSE,8.13
9,131,7/9/2023 18:20,49,Exercise,"['Legs', 'Glutes']",Cardio,Marcus Lee,12000,Advanced,FALSE,8.59
10,113,10/8/2023 23:15,56,Exercise,"['Back', 'Core']",Flexibility,Marcus Lee,12000,Advanced,TRUE,7.04
11,460,9/19/2023 22:00,15,Movement,"['Legs', 'Glutes']",Strength,Emma Rodriguez,2500000,Beginner,TRUE,2.52
12,177,7/14/2023 13:20,50,Movement,"['Legs', 'Glutes']",Strength,Alex Johnson,50000,Intermediate,TRUE,6.92
13,403,9/6/2023 19:52,22,Movement,"['Legs', 'Glutes']",Flexibility,Marcus Lee,12000,Beginner,TRUE,2.9
14,431,10/20/2023 6:34,13,Movement,"['Biceps', 'Triceps']",Flexibility,Sarah Kim,60000,Beginner,FALSE,2.65
15,60,5/25/2023 7:21,18,Movement,"['Legs', 'Glutes']",Strength,Emma Rodriguez,2500000,Beginner,TRUE,2.92
16,381,8/13/2023 18:37,26,Movement,"['Legs', 'Glutes']",Cardio,Sarah Kim,60000,Beginner,TRUE,1.69
17,71,11/5/2023 19:08,49,Movement,"['Legs', 'Glutes']",Cardio,Marcus Lee,12000,Intermediate,TRUE,4.36
18,201,9/23/2023 8:12,21,Exercise,"['Back', 'Core']",Cardio,Sarah Kim,60000,Beginner,TRUE,1.3
19,102,7/18/2023 17:02,30,Exercise,"['Back', 'Core']",Flexibility,Emma Rodriguez,2500000,Beginner,FALSE,1.05
20,67,7/24/2023 8:25,49,Exercise,"['Legs', 'Glutes']",Cardio,Marcus Lee,12000,Intermediate,TRUE,6.34
21,320,7/28/2023 19:43,22,Exercise,"['Legs', 'Glutes']",Flexibility,Emma Rodriguez,2500000,Beginner,TRUE,2.98
22,464,10/7/2023 8:10,38,Movement,"['Legs', 'Glutes']",Cardio,Sarah Kim,60000,Intermediate,TRUE,4.37
23,498,4/30/2023 23:19,14,Movement,"['Back', 'Core']",Flexibility,Emma Rodriguez,2500000,Beginner,TRUE,2.04
24,45,7/24/2023 7:32,14,Exercise,"['Biceps', 'Triceps']",Flexibility,Emma Rodriguez,2500000,Beginner,TRUE,1.1
25,379,6/16/2023 20:18,59,Movement,"['Back', 'Core']",Strength,Marcus Lee,12000,Advanced,FALSE,8.67
26,113,9/24/2023 5:22,45,Exercise,"['Chest', 'Shoulders']",Strength,Alex Johnson,50000,Advanced,TRUE,7.47
27,39,9/22/2023 12:20,40,Exercise,"['Back', 'Core']",Cardio,Emma Rodriguez,2500000,Intermediate,TRUE,6.73
28,140,6/23/2023 6:46,19,Exercise,"['Biceps', 'Triceps']",Cardio,Emma Rodriguez,2500000,Beginner,TRUE,2.02
29,192,8/29/2023 22:00,10,Movement,"['Back', 'Core']",Flexibility,Sarah Kim,60000,Beginner,FALSE,2.1
30,195,5/18/2023 18:17,19,Exercise,"['Biceps', 'Triceps']",Flexibility,Alex Johnson,50000,Beginner,TRUE,2.25
31,90,11/9/2023 20:54,19,Movement,"['Back', 'Core']",Flexibility,Marcus Lee,12000,Beginner,TRUE,2.45
32,90,8/31/2023 11:24,19,Exercise,"['Biceps', 'Triceps']",Strength,Marcus Lee,12000,Beginner,TRUE,1.88
33,95,11/6/2023 18:01,30,Movement,"['Biceps', 'Triceps']",Cardio,Emma Rodriguez,2500000,Beginner,TRUE,2.58
34,326,6/18/2023 8:15,46,Exercise,"['Biceps', 'Triceps']",Flexibility,Alex Johnson,50000,Advanced,TRUE,7.39
35,480,5/19/2023 20:15,12,Exercise,"['Legs', 'Glutes']",Flexibility,Marcus Lee,12000,Beginner,TRUE,2.54
36,408,9/29/2023 3:29,55,Exercise,"['Chest', 'Shoulders']",Flexibility,Emma Rodriguez,2500000,Advanced,TRUE,6.58
37,102,3/27/2023 19:28,23,Exercise,"['Chest', 'Shoulders']",Flexibility,Alex Johnson,50000,Beginner,TRUE,2.2
38,337,3/4/2023 17:03,38,Exercise,"['Chest', 'Shoulders']",Strength,Marcus Lee,12000,Intermediate,TRUE,4.93
39,481,4/21/2023 7:31,30,Exercise,"['Back', 'Core']",Cardio,Sarah Kim,60000,Intermediate,TRUE,6.94
40,94,2/20/2023 11:53,28,Exercise,"['Legs', 'Glutes']",Flexibility,Sarah Kim,60000,Beginner,TRUE,2.5
41,27,9/18/2023 5:19,30,Exercise,"['Legs', 'Glutes']",Strength,Sarah Kim,60000,Intermediate,TRUE,4.7
42,117,6/19/2023 7:31,14,Exercise,"['Chest', 'Shoulders']",Strength,Marcus Lee,12000,Beginner,TRUE,2.08
43,209,11/3/2023 19:28,25,Exercise,"['Chest', 'Shoulders']",Strength,Emma Rodriguez,2500000,Beginner,TRUE,1.14
44,125,7/4/2023 7:59,15,Movement,"['Biceps', 'Triceps']",Flexibility,Emma Rodriguez,2500000,Beginner,FALSE,2.83
45,210,10/10/2023 20:00,10,Exercise,"['Legs', 'Glutes']",Strength,Alex Johnson,50000,Beginner,TRUE,1.47
46,88,3/11/2023 21:51,51,Movement,"['Biceps', 'Triceps']",Flexibility,Emma Rodriguez,2500000,Advanced,TRUE,6.06
47,71,9/12/2023 19:22,33,Movement,"['Legs', 'Glutes']",Cardio,Emma Rodriguez,2500000,Intermediate,TRUE,6.81
48,495,5/5/2023 7:40,25,Movement,"['Legs', 'Glutes']",Cardio,Marcus Lee,12000,Beginner,FALSE,2.01
49,94,6/5/2023 18:57,17,Exercise,"['Biceps', 'Triceps']",Flexibility,Marcus Lee,12000,Beginner,TRUE,2.64
50,12,9/10/2023 3:01,45,Movement,"['Chest', 'Shoulders']",Flexibility,Emma Rodriguez,2500000,Intermediate,TRUE,5.85
51,68,5/14/2023 19:36,43,Movement,"['Chest', 'Shoulders']",Flexibility,Marcus Lee,12000,Intermediate,FALSE,6.18
52,99,7/26/2023 11:58,15,Exercise,"['Back', 'Core']",Strength,Emma Rodriguez,2500000,Beginner,TRUE,1.45
53,162,9/30/2023 19:44,27,Exercise,"['Back', 'Core']",Flexibility,Sarah Kim,60000,Beginner,TRUE,1.32
54,174,4/29/2023 17:41,55,Movement,"['Legs', 'Glutes']",Flexibility,Marcus Lee,12000,Advanced,FALSE,7.06
55,113,9/17/2023 7:06,52,Movement,"['Legs', 'Glutes']",Cardio,Marcus Lee,12000,Advanced,FALSE,8.06
56,156,1/28/2023 7:53,34,Exercise,"['Biceps', 'Triceps']",Cardio,Alex Johnson,50000,Intermediate,TRUE,6.01
57,364,2/17/2023 20:51,50,Exercise,"['Back', 'Core']",Cardio,Alex Johnson,50000,Intermediate,TRUE,5.89
58,234,6/19/2023 21:29,15,Exercise,"['Chest', 'Shoulders']",Cardio,Alex Johnson,50000,Beginner,TRUE,2.35
59,71,10/29/2023 8:02,39,Movement,"['Chest', 'Shoulders']",Flexibility,Emma Rodriguez,2500000,Intermediate,TRUE,6.68
60,462,3/1/2023 20:00,49,Movement,"['Legs', 'Glutes']",Cardio,Emma Rodriguez,2500000,Intermediate,TRUE,6.03
61,451,6/16/2023 17:52,17,Movement,"['Biceps', 'Triceps']",Cardio,Sarah Kim,60000,Beginner,TRUE,1.32
62,302,8/12/2023 21:49,40,Exercise,"['Chest', 'Shoulders']",Cardio,Marcus Lee,12000,Intermediate,TRUE,3.04
63,320,9/13/2023 18:01,30,Exercise,"['Back', 'Core']",Flexibility,Sarah Kim,60000,Beginner,TRUE,1.11
64,222,3/15/2023 22:04,19,Movement,"['Legs', 'Glutes']",Cardio,Emma Rodriguez,2500000,Beginner,FALSE,1.47
65,120,5/5/2023 23:45,24,Exercise,"['Back', 'Core']",Cardio,Alex Johnson,50000,Beginner,TRUE,2.52
66,151,7/21/2023 20:00,37,Movement,"['Chest', 'Shoulders']",Strength,Marcus Lee,12000,Intermediate,FALSE,5.44
67,228,8/21/2023 19:39,37,Movement,"['Chest', 'Shoulders']",Strength,Emma Rodriguez,2500000,Intermediate,FALSE,3.32
68,471,2/21/2023 7:00,22,Movement,"['Chest', 'Shoulders']",Flexibility,Emma Rodriguez,2500000,Beginner,FALSE,1.46
69,400,4/12/2023 17:14,16,Exercise,"['Chest', 'Shoulders']",Cardio,Marcus Lee,12000,Beginner,TRUE,1.73
70,30,4/29/2023 1:24,50,Exercise,"['Biceps', 'Triceps']",Cardio,Emma Rodriguez,2500000,Advanced,FALSE,8.9
71,99,6/25/2023 21:29,17,Exercise,"['Biceps', 'Triceps']",Cardio,Alex Johnson,50000,Beginner,TRUE,1.1
72,162,8/5/2023 17:16,10,Exercise,"['Biceps', 'Triceps']",Cardio,Sarah Kim,60000,Beginner,TRUE,2.43
73,429,5/3/2023 5:16,57,Movement,"['Chest', 'Shoulders']",Cardio,Sarah Kim,60000,Advanced,TRUE,5.89
74,3,8/11/2023 19:10,22,Movement,"['Back', 'Core']",Strength,Alex Johnson,50000,Beginner,TRUE,1.21
75,184,6/30/2023 5:06,14,Exercise,"['Chest', 'Shoulders']",Strength,Marcus Lee,12000,Beginner,TRUE,2.72
76,389,8/28/2023 20:00,22,Movement,"['Legs', 'Glutes']",Cardio,Sarah Kim,60000,Beginner,TRUE,1.45
77,176,7/14/2023 17:26,43,Exercise,"['Biceps', 'Triceps']",Cardio,Marcus Lee,12000,Advanced,TRUE,5.67
78,229,3/21/2023 20:00,34,Exercise,"['Biceps', 'Triceps']",Strength,Sarah Kim,60000,Intermediate,TRUE,4.81
79,82,6/26/2023 22:00,25,Movement,"['Chest', 'Shoulders']",Flexibility,Sarah Kim,60000,Beginner,TRUE,1.31
80,331,9/12/2023 5:15,49,Exercise,"['Back', 'Core']",Cardio,Sarah Kim,60000,Advanced,TRUE,8.06
81,245,6/12/2023 19:25,27,Exercise,"['Chest', 'Shoulders']",Cardio,Emma Rodriguez,2500000,Beginner,TRUE,1.45
82,96,10/6/2023 5:56,41,Exercise,"['Chest', 'Shoulders']",Strength,Sarah Kim,60000,Advanced,TRUE,5.1
83,35,5/10/2023 18:16,32,Movement,"['Legs', 'Glutes']",Flexibility,Alex Johnson,50000,Intermediate,TRUE,6.04
